ID,Client IP,System Name,Status,Hostname,OS Name,License Status,Disk Space (GB),RAM (GB),AV Status,Firewall Status,Raw JSON/Error
149,10.1.1.233,,Failed,,,,,,,,"""Port Closed"""
150,10.1.1.234,,Failed,,,,,,,,"""Port Closed"""
151,10.1.1.235,,Failed,,,,,,,,"""Port Closed"""
152,10.1.1.236,,Failed,,,,,,,,"""Port Closed"""
153,10.1.1.237,,Failed,,,,,,,,"""Port Closed"""
154,10.1.1.238,,Failed,,,,,,,,"""Port Closed"""
155,10.1.1.239,,Failed,,,,,,,,"""Port Closed"""
156,10.1.1.24,,Failed,,,,,,,,"""Port Closed"""
157,10.1.1.240,,Failed,,,,,,,,"""Port Closed"""
158,10.1.1.241,,Failed,,,,,,,,"""Port Closed"""
159,10.1.1.242,,Failed,,,,,,,,"""Port Closed"""
160,10.1.1.243,,Failed,,,,,,,,"""Port Closed"""
161,10.1.1.244,,Failed,,,,,,,,"""Port Closed"""
162,10.1.1.245,,Failed,,,,,,,,"""Port Closed"""
163,10.1.1.246,,Failed,,,,,,,,"""Port Closed"""
164,10.1.1.247,,Failed,,,,,,,,"""Port Closed"""
165,10.1.1.248,,Failed,,,,,,,,"""Port Closed"""
166,10.1.1.249,,Failed,,,,,,,,"""Port Closed"""
167,10.1.1.25,,Failed,,,,,,,,"""Port Closed"""
168,10.1.1.250,,Failed,,,,,,,,"""Port Closed"""
169,10.1.1.251,,Failed,,,,,,,,"""Port Closed"""
170,10.1.1.252,,Failed,,,,,,,,"""Port Closed"""
171,10.1.1.253,,Failed,,,,,,,,"""Port Closed"""
172,10.1.1.254,,Failed,,,,,,,,"""Port Closed"""
173,10.1.1.26,,Failed,,,,,,,,"""Port Closed"""
174,10.1.1.27,,Failed,,,,,,,,"""Port Closed"""
175,10.1.1.28,,Failed,,,,,,,,"""Port Closed"""
176,10.1.1.29,,Failed,,,,,,,,"""Port Closed"""
177,10.1.1.30,,Failed,,,,,,,,"""Port Closed"""
